Wlgth	Ta	Wlgth	Ta 0°	Wlgth	Ra 0°
750	1	740	0.634720161149078	740	98.9457588994234
751	1	740.077902609106	0.616423119555917	740.077902609106	98.9701088463456
752	1	740.155821622145	0.598782996541047	740.155821622145	98.9936381698216
753	1	740.2337570443	0.581771643341114	740.2337570443	99.0163809347057
754	1	740.311708880755	0.565362313982759	740.311708880755	99.0383695397901
755	1	740.389677136695	0.549529585577823	740.389677136695	99.0596348112948
756	1	740.467661817308	0.534249283698642	740.467661817308	99.0802060904505
757	1	740.545662927787	0.519501741680332	740.545662927787	99.1001057715286
758	1	740.623680473323	0.505262354506019	740.623680473323	99.1193649270987
759	1	740.701714459111	0.491509404101834	740.701714459111	99.1380103905732
760	1	740.779764890348	0.478223070695299	740.779764890348	99.156066312029
761	1	740.857831772234	0.465384473318075	740.857831772234	99.1735557207198
762	1	740.93591510997	0.452975619104482	740.93591510997	99.1905005847997
763	1	741.01401490876	0.440979355662859	741.01401490876	99.2069218674617
764	1	741.092131173809	0.429379326313805	741.092131173809	99.2228395797301
765	1	741.170263910326	0.418159928004152	741.170263910326	99.2382728301268
766	1	741.248413123521	0.407306271719337	741.248413123521	99.2532398714205
767	1	741.326578818607	0.396804145230326	741.326578818607	99.2677581446446
768	1	741.404761000797	0.386639978021777	741.404761000797	99.2818443205639
769	1	741.48295967531	0.376800808260849	741.48295967531	99.2955143387539
770	1	741.561174847364	0.367274251674283	741.561174847364	99.3087834444449
771	1	741.63940652218	0.358048472212339	741.63940652218	99.3216662232727
772	1	741.717654704981	0.349112154385072	741.717654704981	99.3341766340689
773	1	741.795919400994	0.340454477166131	741.795919400994	99.3463280398126
774	1	741.874200615447	0.332065089364979	741.874200615447	99.3581332368592
775	1	741.952498353569	0.323934086376406	741.952498353569	99.3696044825521
776	1	742.030812620593	0.31605198822152	742.030812620593	99.3807535213168
777	1	742.109143421753	0.308409718801075	742.109143421753	99.3915916093308
778	1	742.187490762286	0.300998586286906	742.187490762286	99.402129537854
779	1	742.265854647431	0.293810264581873	742.265854647431	99.4123776553033
780	1	742.344235082428	0.286836775784137	742.344235082428	99.4223458881433
781	1	742.422632072523	0.280070473595493	742.422632072523	99.4320437606664
782	1	742.501045622959	0.273504027617004	742.501045622959	99.4414804137259
783	1	742.579475738985	0.267130408479738	742.579475738985	99.4506646224857
784	1	742.657922425851	0.260942873761097	742.657922425851	99.4596048132416
785	1	742.736385688808	0.254934954640995	742.736385688808	99.4683090793709
786	1	742.814865533113	0.249100443254309	742.814865533113	99.4767851964588
787	1	742.89336196402	0.24343338069999	742.89336196402	99.4850406366484
788	1	742.971874986789	0.237928045668301	742.971874986789	99.4930825822606
789	1	743.050404606682	0.232578943651461	743.050404606682	99.5009179387237
790	1	743.128950828961	0.227380796704165	743.128950828961	99.5085533468519
