# from Andrews, Driver et al., 2018 Figure X
# from webplotdigitizer
# wavelength EBL lambda F_lambda [nW m^-2 sr^-1]
0.4863003372540113 7.200975791366525
0.5238485799724715 7.898282228094475
0.5643231650846623 8.596641925283249
0.5930385408375465 9.072868039214647
0.633652055947255 9.649514414684838
0.6770469376899606 10.262810837406427
0.7294986843023927 10.831337311533128
0.7860139390256239 11.431358310591047
0.8400048726293351 11.789035356068146
0.9052554911063401 12.064618529235174
0.983686070552403 12.442109724340758
1.0779548910480443 12.635261752348054
1.1522209636938654 12.635261752348054
1.241903513961233 12.635261752348054
1.32759269772852 12.442109724340758
1.419125967895764 12.346643797369175
1.529803855696548 12.064618529235174
1.6353576626107127 11.880189778827758
1.7337790785386384 11.608819375433546
1.8536745094821045 11.170240233031596
1.965424201583835 10.748230533044875
2.06662758996276 10.342164284870076
2.1550197188517477 9.951439147718135
2.24708430741686 9.649514414684838
2.3630184046882 9.14302068732449
2.4849339041106573 8.663112328391078
