Wlgth	Ta	Wlgth	Ta 0°	Wlgth	Ra 0°
785	1	742.736385688808	0.073286565741674	742.736385688808	99.6964270942115
786	1	742.814865533113	0.0699565550130106	742.814865533113	99.7055513546306
787	1	742.89336196402	0.0668250418507714	742.89336196402	99.7141631272393
788	1	742.971874986789	0.0638773009619318	742.971874986789	99.7222994913887
789	1	743.050404606682	0.0610999052378848	743.050404606682	99.7299942999842
790	1	743.128950828961	0.0584805327702763	743.128950828961	99.7372786447705
791	1	743.207513658891	0.0560079828181283	743.207513658891	99.7441808318538
792	1	743.286093101742	0.0536720062429542	743.286093101742	99.7507268097943
793	1	743.364689162782	0.0514632119448943	743.364689162782	99.7569403920869
794	1	743.443301847285	0.0493729347914804	743.443301847285	99.762843542101
795	1	743.521931160524	0.0473932980514413	743.521931160524	99.7684563098363
796	1	743.600577107776	0.0455170361588981	743.600577107776	99.7737972026136
797	1	743.679239694321	0.043737497316103	743.679239694321	99.7788831918736
798	1	743.757918925438	0.0420484379931138	743.757918925438	99.7837302022425
799	1	743.836614806413	0.0404441370775894	743.836614806413	99.7883528548591
800	1	743.91532734253	0.0389192803654188	743.91532734253	99.7927647305991
801	1	743.994056539077	0.0374690295387848	743.994056539077	99.7969782682952
802	1	744.072802401345	0.0360888741167113	744.072802401345	99.8010050535607
803	1	744.151564934625	0.0347746316890105	744.151564934625	99.8048558450876
804	1	744.230344144213	0.0335223733724715	744.230344144213	99.8085407519058
805	1	744.309140035405	0.0323284708135072	744.309140035405	99.812068767853
806	1	744.3879526135	0.0311895586914206	744.3879526135	99.8154486340142
807	1	744.4667818838	0.0301025115794874	744.4667818838	99.8186887976316
808	1	744.545627851608	0.0290643959294013	744.545627851608	99.8217972807684
809	1	744.624490522231	0.0280724966880138	744.624490522231	99.8247808509254
810	1	744.703369900975	0.0271242772194359	744.703369900975	99.827645907064
811	1	744.782265993152	0.0262173778744832	744.782265993152	99.8303980890781
812	1	744.861178804074	0.0253495626923107	744.861178804074	99.8330436944178
813	1	744.940108339055	0.0245187524591143	744.940108339055	99.8355882547001
814	1	745.019054603414	0.0237230126430742	745.019054603414	99.8380372633155
815	1	745.098017602469	0.0229605060532929	745.098017602469	99.8403950203447
816	1	745.176997341542	0.0222295224619999	745.176997341542	99.842666009517
817	1	745.255993825956	0.0215284568521786	745.255993825956	99.8448544440716
818	1	745.335007061039	0.0208558011505637	745.335007061039	99.8469642964416
819	1	745.414037052117	0.0202101234079724	745.414037052117	99.8489991321242
820	1	745.493083804523	0.0195900892095404	745.493083804523	99.850962444861
821	1	745.572147323588	0.0189944634220795	745.572147323588	99.8528577626268
822	1	745.651227614647	0.0184220845271465	745.651227614647	99.8546884220506
823	1	745.730324683039	0.0178718293634186	745.730324683039	99.8564572680342
824	1	745.809438534103	0.0173426369623706	745.809438534103	99.8581669635214
825	1	745.888569173181	0.016833495097138	745.888569173181	99.8598198823259
826	1	745.967716605617	0.0163434884380692	745.967716605617	99.8614187353107
827	1	746.046880836758	0.0158717394368771	746.046880836758	99.8629659383957
828	1	746.126061871951	0.0154174383003306	746.126061871951	99.8644639942309
829	1	746.205259716549	0.0149797696648918	746.205259716549	99.8659147231198
830	1	746.284474375905	0.0145579857955622	746.284474375905	99.8673200658008
831	1	746.363705855374	0.0141513761387548	746.363705855374	99.868681746109
832	1	746.442954160314	0.0137592776575472	746.442954160314	99.8700018170301
833	1	746.522219296085	0.0133810510468972	746.522219296085	99.8712819967758
834	1	746.601501268049	0.0130160928069709	746.601501268049	99.8725239123422
835	1	746.680800081572	0.0126638414736416	746.680800081572	99.8737290897532
836	1	746.760115742019	0.0123237634495424	746.760115742019	99.874898976959
837	1	746.839448254761	0.0119953424504789	746.839448254761	99.876034973948
838	1	746.918797625169	0.0116780849533033	746.918797625169	99.877138420258
839	1	746.998163858617	0.011371532020263	746.998163858617	99.878210756574
840	1	747.077546960481	0.0110752394196233	747.077546960481	99.8792530515269
841	1	747.156946936138	0.0107887865220742	747.156946936138	99.8802663945029
842	1	747.23636379097	0.0105117696006503	747.23636379097	99.8812516653541
843	1	747.31579753036	0.0102438139501302	747.31579753036	99.8822101183538
844	1	747.395248159693	0.00998455831757508	747.395248159693	99.8831427573649
845	1	747.474715684356	0.00973365841447543	747.474715684356	99.8840505280394
846	1	747.55420010974	0.0094907858063611	747.55420010974	99.884934338369
847	1	747.633701441236	0.00925562467245872	747.633701441236	99.8857950579632
848	1	747.713219684239	0.00902787385684474	747.713219684239	99.8866335176181
849	1	747.792754844145	0.00880725456603593	747.792754844145	99.8874504961415
850	1	747.872306926354	0.00859349919567562	747.872306926354	99.8882467383773
851	1	747.951875936266	0.00838634751226626	747.951875936266	99.8890229681823
852	1	748.031461879286	0.00818569918722331	748.031461879286	99.8897790684702
853	1	748.111064760818	0.00799117451454191	748.111064760818	99.8905164483027
854	1	748.190684586273	0.00780252827229417	748.190684586273	99.8912358435554
855	1	748.270321361059	0.00761954443841296	748.270321361059	99.891937860495
856	1	748.349975090589	0.00744201654999817	748.349975090589	99.8926230771747
857	1	748.42964578028	0.00726974682159403	748.42964578028	99.8932920518943
858	1	748.509333435548	0.00710254554145283	748.509333435548	99.8939453192623
859	1	748.589038061812	0.00694022648800855	748.589038061812	99.8945834000567
860	1	748.668759664495	0.00678262208561421	748.668759664495	99.8952067747883
861	1	748.748498249022	0.00662956770313847	748.748498249022	99.8958159109668
862	1	748.828253820819	0.00648090660274531	748.828253820819	99.8964112549633
863	1	748.908026385314	0.00633648157833483	748.908026385314	99.8969932525167
864	1	748.98781594794	0.00619614625935806	748.98781594794	99.8975623204017
865	1	749.067622514129	0.00605976020831766	749.067622514129	99.8981188599546
